Year,Stage,Match,Sheet,Team,Skip,LRFE,1,2,3,4,5,6,7,8,9,10,11,Score,Ends,Outcome,Margin
2018,Round robin,Draw 7,C,Prince Edward Island,MacKenzie,1,0,0,0,3,0,1,0,1,0,1,0,6,11,L,-1
2018,Round robin,Draw 7,D,Ontario,Epping,1,2,1,3,3,0,1,0,4,,,,14,8,W,11
2018,Round robin,Draw 7,D,Nunavut,St.Louis,0,0,0,0,0,2,0,1,0,,,,3,8,L,-11
2018,Round robin,Draw 8,A,Alberta,Bottcher,1,1,0,1,1,2,0,4,0,,,,9,8,W,7
2018,Round robin,Draw 8,A,Newfoundland and Labrador,Smith,0,0,0,0,0,0,2,0,0,,,,2,8,L,-7
2018,Round robin,Draw 8,B,Wild Card,McEwen,0,0,2,0,1,0,1,0,0,1,,,5,9,L,-1
2018,Round robin,Draw 8,B,Canada,Gushue,1,2,0,2,0,1,0,0,1,0,,,6,9,W,1
2018,Round robin,Draw 8,C,Northwest Territories,Koe,1,1,0,0,1,1,0,0,1,1,2,,7,10,W,4
2018,Round robin,Draw 8,C,Nova Scotia,Murphy,0,0,1,0,0,0,1,1,0,0,0,,3,10,L,-4
2018,Round robin,Draw 8,D,Yukon,Scoffin,0,0,1,1,1,0,0,2,1,2,,,8,9,W,6
2018,Round robin,Draw 8,D,British Columbia,Geall,1,1,0,0,0,1,0,0,0,0,,,2,9,L,-6
2018,Round robin,Draw 9,A,Prince Edward Island,MacKenzie,0,0,0,0,2,0,2,0,2,0,0,,6,10,L,-3
2018,Round robin,Draw 9,A,New Brunswick,Grattan,1,0,1,0,0,1,0,2,0,3,2,,9,10,W,3
2018,Round robin,Draw 9,B,Quebec,Fournier,1,3,2,0,2,0,0,1,0,,,,8,8,W,5
2018,Round robin,Draw 9,B,Nunavut,St.Louis,0,0,0,1,0,0,1,0,1,,,,3,8,L,-5
2018,Round robin,Draw 9,C,Manitoba,Carruthers,0,0,2,0,1,0,1,0,1,0,,,5,9,L,-5
2018,Round robin,Draw 9,C,Ontario,Epping,1,1,0,1,0,2,0,1,0,5,,,10,9,W,5
2018,Round robin,Draw 9,D,Saskatchewan,Laycock,1,0,0,4,0,0,3,0,1,0,,,8,9,W,4
2018,Round robin,Draw 9,D,Northern Ontario,Jacobs,0,0,0,0,1,1,0,1,0,1,,,4,9,L,-4
2018,Round robin,Draw 10,A,Nova Scotia,Murphy,0,0,1,0,1,0,2,0,1,0,,,5,9,L,-4
2018,Round robin,Draw 10,A,Canada,Gushue,1,1,0,2,0,2,0,2,0,2,,,9,9,W,4
2018,Round robin,Draw 10,B,Newfoundland and Labrador,Smith,0,1,3,0,0,0,1,0,1,0,,,6,9,L,-6
2018,Round robin,Draw 10,B,British Columbia,Geall,1,0,0,3,2,4,0,1,0,2,,,12,9,W,6
2018,Round robin,Draw 10,C,Alberta,Bottcher,0,1,0,2,0,0,0,2,0,2,,,7,9,W,2
2018,Round robin,Draw 10,C,Yukon,Scoffin,1,0,2,0,1,0,1,0,1,0,,,5,9,L,-2
2018,Round robin,Draw 10,D,Northwest Territories,Koe,0,0,0,0,0,1,0,0,2,,,,3,8,L,-7
2018,Round robin,Draw 10,D,Wild Card,McEwen,1,1,3,2,1,0,3,0,0,,,,10,8,W,7
2018,Round robin,Draw 11,A,Quebec,Fournier,1,1,0,0,1,0,0,1,0,0,,,3,9,L,-4
2018,Round robin,Draw 11,A,Northern Ontario,Jacobs,0,0,0,2,0,3,0,0,1,1,,,7,9,W,4
2018,Round robin,Draw 11,B,Ontario,Epping,0,0,3,0,3,0,2,0,3,,,,11,8,W,7
2018,Round robin,Draw 11,B,Prince Edward Island,MacKenzie,1,1,0,1,0,1,0,1,0,,,,4,8,L,-7
2018,Round robin,Draw 11,C,Nunavut,St.Louis,0,0,2,0,0,0,0,0,1,,,,3,8,L,-7
2018,Round robin,Draw 11,C,Saskatchewan,Laycock,1,2,0,2,1,1,4,0,0,,,,10,8,W,7
2018,Round robin,Draw 11,D,Manitoba,Carruthers,1,0,2,0,1,0,0,2,0,2,,,7,9,W,4
2018,Round robin,Draw 11,D,New Brunswick,Grattan,0,0,0,0,0,1,1,0,1,0,,,3,9,L,-4
2018,Round robin,Draw 12,A,Newfoundland and Labrador,Smith,0,0,0,0,0,1,0,1,0,0,,,2,9,L,-4
2018,Round robin,Draw 12,A,Wild Card,McEwen,1,0,1,0,1,0,2,0,2,0,,,6,9,W,4
2018,Round robin,Draw 12,B,Yukon,Scoffin,0,0,0,1,0,1,0,0,0,2,,,4,9,L,-3
2018,Round robin,Draw 12,B,Nova Scotia,Murphy,1,0,2,0,2,0,0,2,1,0,,,7,9,W,3
2018,Round robin,Draw 12,C,British Columbia,Geall,0,0,0,2,1,0,1,0,2,1,,,7,9,W,4
2018,Round robin,Draw 12,C,Northwest Territories,Koe,1,1,0,0,0,1,0,1,0,0,,,3,9,L,-4
2018,Round robin,Draw 12,D,Alberta,Bottcher,0,1,0,1,0,3,0,2,0,3,,,10,9,W,3
2018,Round robin,Draw 12,D,Canada,Gushue,1,0,3,0,1,0,1,0,2,0,,,7,9,L,-3
2018,Round robin,Draw 13,A,Ontario,Epping,0,1,0,0,1,0,0,2,0,4,,,8,9,W,4
2018,Round robin,Draw 13,A,Saskatchewan,Laycock,1,0,0,2,0,0,0,0,2,0,,,4,9,L,-4
2018,Round robin,Draw 13,B,Manitoba,Carruthers,1,0,0,2,0,0,0,0,1,0,,,3,9,L,-3
2018,Round robin,Draw 13,B,Northern Ontario,Jacobs,0,0,0,0,2,2,0,0,0,2,,,6,9,W,3
2018,Round robin,Draw 13,C,Quebec,Fournier,1,2,1,0,0,0,1,0,1,0,1,1,7,11,W,1
2018,Round robin,Draw 13,C,New Brunswick,Grattan,0,0,0,3,0,1,0,0,0,2,0,0,6,11,L,-1
2018,Round robin,Draw 13,D,Nunavut,St.Louis,1,0,1,0,0,0,0,1,,,,,2,7,L,-12
2018,Round robin,Draw 13,D,Prince Edward Island,MacKenzie,0,4,0,4,3,1,2,0,,,,,14,7,W,12
2018,Round robin,Draw 14,A,Yukon,Scoffin,0,0,0,1,0,1,0,0,0,,,,2,8,L,-6
2018,Round robin,Draw 14,A,Northwest Territories,Koe,1,0,2,0,3,0,0,2,1,,,,8,8,W,6
2018,Round robin,Draw 14,B,Alberta,Bottcher,0,0,0,0,1,2,5,0,1,,,,9,8,W,7
2018,Round robin,Draw 14,B,Wild Card,McEwen,1,0,1,0,0,0,0,1,0,,,,2,8,L,-7
2018,Round robin,Draw 14,C,Newfoundland and Labrador,Smith,1,0,0,0,1,0,0,1,0,,,,2,8,L,-5
2018,Round robin,Draw 14,C,Canada,Gushue,0,2,1,0,0,0,2,0,2,,,,7,8,W,5
2018,Round robin,Draw 14,D,British Columbia,Geall,0,0,2,0,1,0,0,2,0,1,0,,6,10,L,-2
2018,Round robin,Draw 14,D,Nova Scotia,Murphy,1,1,0,2,0,1,1,0,1,0,2,,8,10,W,2
2017,Pre-qualifying,Draw 1,C,Nunavut,Nix,0,0,0,1,0,0,1,2,0,,,,4,8,L,-7
2017,Pre-qualifying,Draw 1,C,Prince Edward Island,MacKenzie,1,2,1,0,3,4,0,0,1,,,,11,8,W,7
2017,Pre-qualifying,Draw 1,D,Nova Scotia,Murphy,1,2,1,1,1,2,0,0,1,,,,8,8,W,6
2017,Pre-qualifying,Draw 1,D,Yukon,Kochan,0,0,0,0,0,0,1,1,0,,,,2,8,L,-6
2017,Pre-qualifying,Draw 2,A,Yukon,Kochan,1,1,0,1,1,0,2,3,0,2,2,,12,10,W,5
2017,Pre-qualifying,Draw 2,A,Prince Edward Island,MacKenzie,0,0,2,0,0,4,0,0,1,0,0,,7,10,L,-5
2017,Pre-qualifying,Draw 2,B,Nova Scotia,Murphy,1,3,2,4,3,0,4,0,1,,,,17,8,W,13
2017,Pre-qualifying,Draw 2,B,Nunavut,Nix,0,0,0,0,0,2,0,2,0,,,,4,8,L,-13
2017,Pre-qualifying,Draw 3,C,Yukon,Kochan,0,0,1,1,2,0,1,2,3,,,,10,8,W,9
2017,Pre-qualifying,Draw 3,C,Nunavut,Nix,1,0,0,0,0,1,0,0,0,,,,1,8,L,-9
2017,Pre-qualifying,Draw 3,D,Prince Edward Island,MacKenzie,0,0,0,0,0,0,0,1,0,,,,1,8,L,-9
2017,Pre-qualifying,Draw 3,D,Nova Scotia,Murphy,1,1,2,1,3,0,1,0,2,,,,10,8,W,9
2017,Pre-qualifying,Final,D,Nova Scotia,Murphy,1,1,0,3,0,2,0,3,0,0,,,9,9,W,3
2017,Pre-qualifying,Final,D,Yukon,Kochan,0,0,2,0,1,0,0,0,2,1,,,6,9,L,-3
2017,Round robin,Draw 1,A,British Columbia,Morris,0,1,2,0,1,0,2,0,0,1,,,7,9,L,-2
2017,Round robin,Draw 1,A,Northern Ontario,Jacobs,1,0,0,3,0,3,0,1,2,0,,,9,9,W,2
2017,Round robin,Draw 1,B,Saskatchewan,Casey,0,0,0,2,0,1,0,0,0,1,1,,5,10,L,-1
2017,Round robin,Draw 1,B,Manitoba,McEwen,1,1,0,0,2,0,2,1,0,0,0,,6,10,W,1
2017,Round robin,Draw 1,C,Newfoundland and Labrador,Gushue,0,0,2,0,2,0,1,0,3,0,,,8,9,W,2
2017,Round robin,Draw 1,C,Alberta,Bottcher,1,1,0,1,0,1,0,2,0,1,,,6,9,L,-2
2017,Round robin,Draw 2,B,Canada,K.Koe,0,0,0,1,2,0,0,2,0,2,,,7,9,W,2
2017,Round robin,Draw 2,B,Quebec,Ménard,1,1,0,0,0,2,0,0,2,0,,,5,9,L,-2
2017,Round robin,Draw 2,C,Ontario,Howard,1,1,1,0,0,0,0,0,1,0,2,0,5,11,L,-1
2017,Round robin,Draw 2,C,Nova Scotia,Murphy,0,0,0,0,2,0,0,0,0,3,0,1,6,11,W,1
2017,Round robin,Draw 2,D,New Brunswick,Kennedy,1,1,1,0,1,0,0,1,0,2,0,,6,10,W,1
2017,Round robin,Draw 2,D,Northwest Territories,J.Koe,0,0,0,1,0,1,0,0,2,0,1,,5,10,L,-1
2017,Round robin,Draw 3,A,Manitoba,McEwen,1,0,2,0,0,2,1,0,3,,,,8,8,W,4
2017,Round robin,Draw 3,A,Newfoundland and Labrador,Gushue,0,1,0,2,0,0,0,1,0,,,,4,8,L,-4
2017,Round robin,Draw 3,B,British Columbia,Morris,1,0,1,0,0,1,0,0,0,1,0,,3,10,L,-2
2017,Round robin,Draw 3,B,Ontario,Howard,0,1,0,1,1,0,0,1,0,0,1,,5,10,W,2
2017,Round robin,Draw 3,C,Canada,K.Koe,0,2,0,0,2,0,1,0,1,0,,,6,9,W,2
2017,Round robin,Draw 3,C,Northern Ontario,Jacobs,1,0,2,0,0,1,0,1,0,0,,,4,9,L,-2
2017,Round robin,Draw 3,D,Alberta,Bottcher,0,0,0,2,0,0,2,1,0,0,,,5,9,L,-6
2017,Round robin,Draw 3,D,Saskatchewan,Casey,1,3,1,0,2,1,0,0,1,3,,,11,9,W,6
2017,Round robin,Draw 4,A,Northwest Territories,J.Koe,0,0,0,2,0,0,0,1,0,,,,3,8,L,-5
2017,Round robin,Draw 4,A,Saskatchewan,Casey,1,3,0,0,0,2,0,0,3,,,,8,8,W,5
2017,Round robin,Draw 4,B,Alberta,Bottcher,0,0,2,0,1,1,1,0,1,0,,,6,9,L,-5
2017,Round robin,Draw 4,B,Nova Scotia,Murphy,1,2,0,3,0,0,0,2,0,4,,,11,9,W,5
2017,Round robin,Draw 4,C,British Columbia,Morris,1,1,0,3,0,1,0,0,3,,,,8,8,W,5
2017,Round robin,Draw 4,C,New Brunswick,Kennedy,0,0,1,0,1,0,1,0,0,,,,3,8,L,-5
2017,Round robin,Draw 4,D,Quebec,Ménard,1,0,2,0,0,2,0,0,2,0,2,0,8,11,L,-1
2017,Round robin,Draw 4,D,Northern Ontario,Jacobs,0,1,0,0,2,0,2,2,0,1,0,1,9,11,W,1
2017,Round robin,Draw 5,A,Quebec,Ménard,0,0,2,0,1,0,2,3,0,2,,,10,9,W,4
2017,Round robin,Draw 5,A,Nova Scotia,Murphy,1,2,0,2,0,1,0,0,1,0,,,6,9,L,-4
2017,Round robin,Draw 5,B,Newfoundland and Labrador,Gushue,0,0,2,2,0,0,1,0,0,0,,,5,9,W,1
2017,Round robin,Draw 5,B,New Brunswick,Kennedy,1,1,0,0,0,2,0,1,0,0,,,4,9,L,-1
2017,Round robin,Draw 5,C,Manitoba,McEwen,1,0,2,0,0,0,2,1,0,1,,,6,9,W,4
2017,Round robin,Draw 5,C,Northwest Territories,J.Koe,0,0,0,0,1,0,0,0,1,0,,,2,9,L,-4
2017,Round robin,Draw 5,D,Canada,K.Koe,0,0,1,0,1,0,1,0,0,0,2,,5,10,W,1
2017,Round robin,Draw 5,D,Ontario,Howard,1,2,0,0,0,1,0,0,0,1,0,,4,10,L,-1
2017,Round robin,Draw 6,A,Alberta,Bottcher,0,1,0,0,0,1,2,0,3,,,,7,8,W,5
2017,Round robin,Draw 6,A,New Brunswick,Kennedy,1,0,1,0,0,0,0,1,0,,,,2,8,L,-5
2017,Round robin,Draw 6,B,Northern Ontario,Jacobs,1,0,1,0,0,1,1,0,3,0,3,,9,10,W,4
2017,Round robin,Draw 6,B,Northwest Territories,J.Koe,0,0,0,0,2,0,0,2,0,1,0,,5,10,L,-4
2017,Round robin,Draw 6,C,Saskatchewan,Casey,0,0,2,0,0,0,1,0,0,,,,3,8,L,-5
2017,Round robin,Draw 6,C,Quebec,Ménard,1,1,0,2,0,3,0,1,1,,,,8,8,W,5
2017,Round robin,Draw 6,D,Nova Scotia,Murphy,0,0,0,0,0,0,0,1,1,1,0,,3,10,L,-1
2017,Round robin,Draw 6,D,British Columbia,Morris,1,0,0,2,0,1,0,0,0,0,1,,4,10,W,1
2017,Round robin,Draw 7,A,Canada,K.Koe,0,0,1,1,0,0,0,0,0,1,1,,4,10,L,-1
2017,Round robin,Draw 7,A,British Columbia,Morris,1,2,0,0,2,0,0,1,0,0,0,,5,10,W,1
2017,Round robin,Draw 7,B,Manitoba,McEwen,1,0,2,0,0,2,0,2,0,4,,,10,9,W,4
